altitude(m),rho(kg/m^3),headwind(km/h),headwind_ms,V_relative_ms,drag_N,time_s,fuel_used_kg,CO2_emissions_kg
3000,0.9093,32,8.88888888888889,425.5555555555556,272548.602067,399.4778067885117,1633.156766955,5160.7753835778
3500,0.909,35,9.722222222222223,426.3888888888889,273526.797046875,398.69706840390876,1635.8149816874998,5169.175342132499
4000,0.8194,38,10.555555555555555,427.22222222222223,247530.01473683328,397.9193758127438,1477.4548343849995,4668.757276656598
4500,0.819,40,11.11111111111111,427.77777777777777,248053.05524999998,397.4025974025974,1478.6539267499998,4672.546408529999
5000,0.7364,44,12.222222222222223,428.8888888888889,224195.8704906667,396.3730569948186,1332.9780382800002,4212.2106009648005
5500,0.6975,48,13.333333333333334,430.0,213454.52302499997,395.3488372093023,1265.8349621249997,4000.038480314999
6000,0.6601,52,14.444444444444445,431.11111111111114,203054.39955733338,394.3298969072165,1201.0563066600002,3795.337929045601
6500,0.6243,55,15.277777777777779,431.94444444444446,192785.0528328125,393.56913183279744,1138.1136881062503,3596.439254415751
7000,0.59,60,16.666666666666668,433.33333333333337,183366.69,392.30769230769226,1079.042445,3409.7741262000004
7500,0.5572,65,18.055555555555557,434.72222222222223,174284.60587708335,391.0543130990415,1022.3212025250001,3230.5349999790005
